Accounts User,حسابات المستخدمين,
Actions,الإجراءات,
Actual Delivery Date,تاريخ التسليم الفعلي,
Add,إضافة,
Add New Brand,إضافة ماركة جديدة,
Add New Customer,إضافة عميل جديد,
Add New Device Type,إضافة نوع جهاز جديد,
Add Service,إضافة خدمة,
Advance Paid,المبلغ المدفوع,
All,الكل,
All Branches,كل الفروع,
All Statuses,جميع الحالات,
Amount,القيمة,
Apps,التطبيقات,
Attachments,المرفقات,
Branch,الفرع,
Brand,العلامة التجارية,
"Brand ""{0}"" created","تم إنشاء الماركة ""{0}""",
"Brand ""{0}"" created successfully","تم إنشاء الماركة ""{0}"" بنجاح",
Brand Name,اسم الماركة,
Cancel,إلغاء,
Change Status,تغيير الحالة,
Company,الشركة,
Completed,مكتمل,
Condition,الحالة,
Create,إنشاء,
Create Invoice,إنشاء فاتورة,
Created {0},تم إنشاء {0},
Creating Brand...,جاري إنشاء الماركة...,
Creating Customer...,جاري إنشاء العميل...,
Creating Device Type...,جاري إنشاء نوع الجهاز...,
Creating Invoice...,جاري إنشاء الفاتورة...,
Creating...,جاري الإنشاء...,
Customer,العميل,
Customer Name,اسم العميل,
Customer Type,نوع العميل,
Date,التاريخ,
Delivered,تم التسليم,
Delivery,تسليم,
Delivery Receiver,مستلم التسليم,
Description,الوصف,
Device,الجهاز,
Device Name,اسم الجهاز,
Device Type,نوع الجهاز,
Diagnosis,التشخيص,
Diagnosis is required when device is Repairable,التشخيص مطلوب عندما يكون الجهاز قابل للإصلاح,
Due,المتبقي,
Edit Request,تعديل الطلب,
Error creating brand,خطأ في إنشاء الماركة,
Error creating brand. It may already exist.,خطأ في إنشاء الماركة. ربما تكون موجودة بالفعل.,
Error creating customer. It may already exist.,خطأ في إنشاء العميل. ربما يكون موجوداً بالفعل.,
Error creating device type. It may already exist.,خطأ في إنشاء نوع الجهاز. ربما يكون موجوداً بالفعل.,
Est. Cost,التكلفة المقدرة,
Estimated,المقدر,
Estimated Cost,التكلفة التقديرية,
Expected,التاريخ المتوقع,
Expected Delivery,التسليم المتوقع,
Expected Delivery Date,تاريخ التسليم المتوقع,
Failed to load dashboard data,فشل في تحميل بيانات لوحة التحكم,
Financials,المالية,
Filters,الفلاتر,
First Page,الصفحة الأولى,
In Progress,قيد التنفيذ,
Inspection,الفحص,
Inspection Decision,قرار الفحص,
Inspection Decision is required,قرار الفحص مطلوب,
Intake,استلام,
Intake Receiver,مستلم الاستلام,
Invoice,الفاتورة,
Item Manager,مدير الصنف,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Last Page,الصفحة الأخيرة,
Log out,تسجيل الخروج,
Main Info,المعلومات الأساسية,
Maintenance Dashboard,لوحة تحكم الصيانة,
Maintenance Requests Report,تقرير طلبات الصيانة,
Missing Required Fields,حقول مطلوبة مفقودة,
Model,الموديل,
My Profile,الملف الشخصي,
My Settings,اعداداتي,
New Request,طلب جديد,
Next Page,الصفحة التالية,
No maintenance requests found,لا توجد طلبات صيانة,
No results found,لا توجد نتائج,
No services added yet,لم يتم إضافة خدمات بعد,
Not Repairable,غير قابل للإصلاح,
Outstanding,المستحق,
Outstanding Amount,الرصيد القائم,
Paid,مدفوع,
Pending,قيد الانتظار,
Phone,الهاتف,
Phone 2,الهاتف 2,
Phone Number,رقم الهاتف,
Please add services before creating invoice,الرجاء إضافة خدمات قبل إنشاء الفاتورة,
Please allow popups for this site to print the report,الرجاء السماح بالنوافذ المنبثقة لهذا الموقع لطباعة التقرير,
Please select service item for row {0},الرجاء اختيار خدمة للصف {0},
Preparing Report...,جاري تحضير التقرير...,
Previous Page,الصفحة السابقة,
Print,طباعة,
Print Report,طباعة التقرير,
Printed on,طُبع في,
Problem,المشكلة,
Purchase User,عضو الشراء,
Qty,الكمية,
Rate,السعر,
Ready,جاهز,
Ready for Delivery,جاهز للتسليم,
Reason (Not Repairable),السبب (غير قابل للإصلاح),
Reason is required when device is Not Repairable,السبب مطلوب عندما يكون الجهاز غير قابل للإصلاح,
Received,المستلم,
Refresh,تحديث,
Reload,إعادة تحميل,
Repair Notes,ملاحظات الإصلاح,
Repairable,قابل للإصلاح,
Request #,رقم الطلب,
Required Fields,الحقول المطلوبة,
Sales Invoice,فواتير المبيعات,
Sales Invoice {0} created,تم إنشاء فاتورة المبيعات {0},
Sales User,عضو المبيعات,
Save,حفظ,
Saving...,جاري الحفظ...,
Search,بحث,
Search...,بحث...,
Select,اختر,
Select Branch,اختر الفرع,
Select Brand,اختر العلامة التجارية,
Select Customer,اختر العميل,
Select Decision,اختر القرار,
Select Device,اختر الجهاز,
Select Technician,اختر الفني,
Serial,الرقم التسلسلي,
Serial Number,رقم الوظيفة,
Series,سلسلة التسمية,
Service,خدمة,
Service Item,بند الخدمة,
Services,خدمات,
Session Defaults,الجلسة الافتراضية,
Status,الحالة,
Stock User,عضو المخزن,
System Manager,مدير النظام,
Technician,الفني,
Technician is required,الفني مطلوب,
"This request is locked because invoice {0} has been issued.",هذا الطلب مقفل لأنه تم إصدار الفاتورة {0}.,
